Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
1108.7870338421458	-0.19940530322492123	-0.2158113606274128	-0.23144285380840302	0.234060729543368	-0.049037855457175865	2.702556473704485	-3.9802192754000284E-8	4.058214109079134E-9	-1.4885113281662334E-9	5.6166248617724136E-8	-8.396998157388156E-9	7.568444615156791E-7
1109.7208229323032	-0.20678458797434965	-0.2564238667488098	-0.38950576207467486	0.17749516665935516	-0.3072137236595154	2.6185966030909467	-3.87898022508916E-8	-1.7338450250894717E-8	-3.587215800169826E-8	-3.3691901454117597E-8	-4.653171378013476E-8	7.332194930597221E-7
1110.654646888314	-0.19727673133214316	-0.1558166414499283	-0.28234308106558664	0.33058904359738034	-0.17854561453515833	2.5682930688445387	-4.4895448751756765E-8	-4.739850030576007E-8	-9.836476712576361E-8	3.114035710804347E-8	-9.339397238069343E-8	7.30405696342719E-7
1111.5884417380703	-0.10444427964588006	-0.2856774054467678	-0.32752510585955213	0.2929885975188679	-0.07802696255120364	2.5503344495709124	-2.898778563758045E-8	-2.3415445393428673E-8	-5.5058365700116105E-8	3.750704332871008E-8	8.150893488910634E-9	8.007550311278758E-7
1112.5222657534478	-0.0961546649535497	-0.2896732404828072	-0.242266945540905	0.14765970740053388	-0.1561814248561859	2.6535202998381395	-6.07984311154627E-9	-4.081631372438669E-8	-9.268519952358343E-8	2.1323996673787947E-8	-8.120932313369759E-8	6.970115985044075E-7
1113.4560720366824	-0.1500774249434471	-0.36122480109333993	-0.37889965942927767	0.17617844541867575	-0.2851303687149828	2.75084697168607	5.544612368085615E-9	-5.571092072823654E-8	-1.636886494075639E-8	7.572116435374053E-8	-7.886119699274173E-8	8.353900862990792E-7
1114.3899450710426	-0.18069401010870934	-0.35037122294306755	-0.2137197426387242	0.09969183388683531	-0.14472127773545004	2.42772380147989	-7.186475386403591E-9	-4.707756464956275E-8	-7.048736947294913E-8	3.857955348681417E-8	-7.04971204455615E-8	6.945248910517965E-7
1115.323733353437	-0.20137839516003928	-0.20076140388846397	-0.3990804510457175	0.31369219140874016	-0.19182899323376743	2.5040824803022237	-5.498085227573961E-9	2.1795656007502027E-8	-6.410508040456046E-8	8.204084728921841E-8	-2.885500952796115E-8	6.962597823984414E-7
1116.2575426010476	-0.23014328380425772	-0.3233174219727516	-0.35927536125694004	0.14577260944578382	-0.27428649027239194	2.444412112236023	-1.8677464549450703E-8	-4.9383558345660354E-8	-6.050271204054343E-8	-3.023111421244194E-8	-1.0104699314070664E-7	7.669301815822576E-7
1117.1914004434927	-0.20911093056201935	-0.29422332942485807	-0.36204982336078373	0.08385550065173043	-0.2485737157138911	2.6890260130167007	-2.184127091778851E-9	-4.651633479836885E-8	-1.1368574396960107E-7	3.13524672354115E-8	1.847544763217742E-8	7.386931267852614E-7
1118.125239501773	-0.20743523786465326	-0.37471131756901743	-0.4636520008955683	0.15450383143292534	-0.23580758950927042	2.4296262338757515	-2.9360882808414455E-8	-2.363051362924565E-8	-7.795433199204538E-8	-3.60306223461007E-9	-7.421765009400577E-8	7.126230551188532E-7
1119.059056409061	-0.26945670569936436	-0.22879185676574706	-0.36740498351199286	0.058508668508794576	-0.27821604297919705	2.6893411863308687	-3.553497607852816E-8	-6.727255130923758E-8	-8.818784437779174E-8	1.6931648126912034E-8	-1.5887347232102357E-7	8.008225017291931E-7
1119.9928226678971	-0.2747178052862485	-0.25819162651896477	-0.4835492553455489	0.14326613396406174	-0.274237071248618	2.5754971143144827	-1.428111776342997E-8	-3.087757556572194E-8	-5.8264594383016476E-8	-2.1727424950792468E-8	-7.784132428409051E-8	6.31953496372625E-7
