Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
354.8364195010604	4772.881598114967	6.043494183564306E-6	639.6947631438574	-4.180009373186232E-6	249.83601394370197	-6.9605946647753765E-6	140.88386496050018	-6.13657182522405E-6	97.50346727752023	-5.496987156163754E-6	75.70032580400056	-4.554982758673008E-6	62.68632354186131	-3.982462563502899E-6
355.7705999922696	4773.562215975486	6.121371955885571E-6	639.5889071077108	-4.190104263690128E-6	249.3834378682077	-6.550767784686953E-6	140.98275818356447	-6.125147581850901E-6	98.71874970446031	-4.955627453684112E-6	75.5739725354043	-4.526858195597611E-6	62.46688646823168	-3.2308026631276086E-6
356.7047477604098	4772.584044862539	6.068136922852529E-6	639.4110541238139	-4.374793547491846E-6	249.47644982859492	-6.783342308690351E-6	140.59828547069006	-5.443546646770827E-6	97.07980877492163	-5.3068292457605795E-6	76.68122150952166	-4.438243972901276E-6	62.600526610819195	-4.216061988705728E-6
357.63885658335147	4772.963495220058	5.981515966506563E-6	639.3825740485141	-4.300637208528885E-6	249.63567038029433	-6.683585875561746E-6	140.01014276274614	-5.83532075056596E-6	97.03826316032145	-5.032020169099479E-6	75.93365701084787	-4.642963056192438E-6	63.2111148633636	-4.021792999672419E-6
358.5729877760354	4772.31858361233	5.986590923332544E-6	639.0595898733785	-4.085352993668664E-6	249.08598951101303	-6.739756590805785E-6	140.00718885660172	-6.011872758394316E-6	95.68620486143563	-5.121071958548516E-6	75.6814482273026	-4.354914175300868E-6	62.97758235897009	-3.8951661173108E-6
359.5070830513179	4772.252199603245	6.170972834811897E-6	638.6711252362778	-4.0514951777727065E-6	248.3475493133068	-6.767036458037406E-6	140.17159364585365	-5.937239772613406E-6	96.5668719816539	-5.521968172769037E-6	76.08833809061484	-4.3407329727004E-6	62.42087230258263	-3.959332463761132E-6
360.4412574410376	4771.865126169287	6.230177268337948E-6	638.7235687660674	-4.257173391794978E-6	248.31031311303377	-6.706642005187578E-6	139.91332901056325	-5.794107591508015E-6	96.09351389192872	-5.1252869186717395E-6	75.86348113146695	-3.961897097844183E-6	61.159897254636654	-4.0476094374858795E-6
361.37538873278453	4771.471573217772	6.25147050323726E-6	638.6380604462078	-4.065322461655938E-6	248.4426211744547	-6.568121325602514E-6	139.85589330962725	-5.828743425684022E-6	96.17523091617558	-5.5795830952769595E-6	76.01935042711821	-4.066988503212158E-6	60.89042451519232	-3.379585373011046E-6
362.3095445827178	4771.127326890826	6.362816352402335E-6	638.2254921688387	-4.261314824731692E-6	248.00895380452275	-6.627092872067664E-6	139.33951204057252	-5.838460119136145E-6	95.85791657368343	-5.249567148894922E-6	75.46678017486225	-3.6659628822392326E-6	61.609197622308365	-3.6877603920122616E-6
363.24371433150134	4771.177772870287	6.528837758167907E-6	638.2168789207935	-4.369842185791508E-6	248.2715100735426	-6.879655671951845E-6	139.93811461223024	-5.987350355894872E-6	95.98792024370697	-4.88025408994965E-6	73.68649687347087	-4.500692696556406E-6	63.10343945943392	-3.1059786506184753E-6
364.1778409645494	4770.820508861914	6.1142452486481476E-6	638.2685182808588	-3.96681403739383E-6	247.9944984152913	-6.615684806303207E-6	139.5899473364864	-5.671661869128712E-6	96.18420017179515	-5.130305612335081E-6	74.85652822391553	-4.157460115829817E-6	58.696173878243336	-3.786033045254E-6
