Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
164.42283877098745	818.4330871738493	-3.2787886753844243E-4	496.56869489016634	-1.664168131388542E-4	403.23924755975605	-1.3220995450643507E-4	354.9650061598846	-1.0969861404098152E-4	325.219746655888	-9.792881283111191E-5	310.1075728908181	-8.78924511401566E-5	296.9450063928962	-8.634023846154804E-5
165.3566718865652	818.182767230086	-3.279216119227438E-4	496.5095610767603	-1.6641312745324568E-4	403.1822683446109	-1.322096837833988E-4	354.9104817956686	-1.0970339276050232E-4	325.17559400614766	-9.792451137042591E-5	310.1075728908181	-8.78924511401566E-5	296.9450063928962	-8.634023846154804E-5
166.2906348551529	798.6211860198528	-3.2790266329020226E-4	496.5095610767603	-1.6641312745324568E-4	403.1822683446109	-1.322096837833988E-4	354.9104817956686	-1.0970339276050232E-4	325.17559400614766	-9.792451137042591E-5	294.63404679366135	-8.829435421260619E-5	296.9450063928962	-8.634023846154804E-5
183.49244032740782	798.6211860198528	-3.2790266329020226E-4	496.5095610767603	-1.6641312745324568E-4	403.1822683446109	-1.322096837833988E-4	354.9104817956686	-1.0970339276050232E-4	325.17559400614766	-9.792451137042591E-5	294.63404679366135	-8.829435421260619E-5	296.9450063928962	-8.634023846154804E-5
184.4266351956146	798.6211860198528	-3.2790266329020226E-4	92.66756421327591	-8.668710663576874E-6	87.43474060222506	-7.831174701435176E-6	354.9104817956686	-1.0970339276050232E-4	325.17559400614766	-9.792451137042591E-5	294.63404679366135	-8.829435421260619E-5	80.53211991374309	-6.399104413860646E-6
185.36041653609462	50.10582605935633	-3.498776500953152E-5	93.22365583044787	-8.49067093660301E-6	86.14985678642988	-7.86986670922292E-6	82.34035505354404	-5.349153256770128E-6	81.23064517064228	-5.866038235020674E-6	81.1197806915099	-4.907683141052176E-6	79.14358774973796	-6.301846347358319E-6
186.2941964702624	50.120448065921664	-3.574658973573466E-5	90.7082501091063	-8.926375872307673E-6	85.7540844835341	-7.876584537263947E-6	82.43542593398264	-5.423108738255263E-6	81.10289710925684	-5.953193371924554E-6	81.16075516830792	-4.812787855293992E-6	79.65041629626201	-6.371732695340757E-6
187.2280304272193	51.44814780820161	-3.513492841658583E-5	91.60210300857823	-8.782965020837286E-6	86.64746126830578	-7.849277764638315E-6	83.80286991489785	-5.399091724267837E-6	82.61485161549516	-6.014762214147051E-6	81.62210653654553	-4.900137262138583E-6	79.89045908302069	-6.4706883664547365E-6
188.16174980271043	53.291645229794085	-3.499554971925429E-5	92.19682144808273	-8.87219976389227E-6	87.53097660839558	-7.927354998464348E-6	83.36488964195762	-5.518981786975066E-6	81.33481188366811	-6.071016844439529E-6	81.25796092030677	-5.063814760701698E-6	79.96400304310598	-6.355414945750641E-6
189.09553466224827	54.43047542311251	-3.4817351200084994E-5	91.75424282873671	-9.137511805469957E-6	86.17876232489944	-8.250137037316022E-6	83.2245345105018	-5.607587840760704E-6	81.85872305764093	-6.064723314219936E-6	82.03552233901891	-5.042995178894001E-6	79.61351961413256	-6.45922107300612E-6
190.0292681144492	55.813605073839426	-3.5074890418093055E-5	91.74926192002992	-9.229364000537261E-6	86.68574523180723	-8.24615921308502E-6	83.56174099019596	-5.604107850940156E-6	81.96743858274486	-6.226226407978036E-6	81.80474489520897	-5.160887356743624E-6	79.00533264302291	-6.602358642471802E-6
190.96302277171785	57.044650678522885	-3.5043274904977264E-5	92.23223679016034	-9.117265069679152E-6	86.97588156834244	-8.233228232957124E-6	82.66148950691733	-5.822974865277709E-6	80.95126134902239	-6.2537553704621935E-6	80.26832701536742	-5.219877058959115E-6	78.45356642168302	-6.749103997130839E-6
